service,connection,phrase,weight
HighSpeed,Any,Run speedtest and check speed on computer.,4
HighSpeed,Any,Run speedtest on WiFi and signal good on boxes rooms.,4
HighSpeed,Any,She reboot booster and wstb and still not working good.,4
HighSpeed,Any,Suggest also to move modem around or get a 2nd booster on his own.,4
HighSpeed,Any,Suggest cx to install wstb instead using WiFi.,4
HighSpeed,Any,Test WiFi speed on basement and cx getting 700.,4
HighSpeed,Any,Test on WiFi and WiFi goes away for couple minutes.,4
HighSpeed,Any,Unable to use TVS but we search boosters and they off.,4
HighSpeed,Any,Use TVS run nspeedtest and check lnes.,4
HighSpeed,Any,We also run a TVS session and check coverage with deadspot detector.,4
HighSpeed,Any,We check WiFi and cx has WiFi connection.,4
HighSpeed,Any,We check physically and cx have main booster off and 2nd booster red.,4
HighSpeed,Any,We check them and main boosters is offline.,4
HighSpeed,Any,We find NAH on basement and solid green but boosters are red.,4
HighSpeed,Any,We help cx to bring old WiFi name password back.,4
HighSpeed,Any,We look for extender and has no WiFi lights.,4
HighSpeed,Any,We reboot booster and NAH and still not showing online.,4
HighSpeed,Any,We run speedtest before and after.,4
HighSpeed,Any,We run speedtests again and speeds increase a lot.,4
HighSpeed,Any,We run speedtests and cx got 500 on baseemtn but 100 on main.,4
HighSpeed,Any,Wifi is choppy downstairs and is still not working good after booster installed.,4
HighSpeed,Copper,Broadband congestion cx using more than 80 of the speed plan occasional slowspeed in.,12
HighSpeed,Copper,Cx using more than 80 of the speed plan occasional slowspeed.,12
HighSpeed,Copper,Offer WiFi plus and cx refuses for now but he will think about the.,12
HighSpeed,Copper,Offer WiFi plus and cx refuses for now but he will.,12
HighSpeed,Copper,Offer WiFi plus and cx refuses for now but.,12
HighSpeed,Copper,Offer WiFi plus and cx refuses for.,12
HighSpeed,Copper,Wifi plus and cx refuses for now but he.,12
HighSpeed,Copper,Wifi plus and cx refuses for now.,12
HighSpeed,Copper,Cx using more than 80 of the speed plan occasional slowspeed in some devices.,9
HighSpeed,Copper,Cx able to connect to WiFi.,8
HighSpeed,Copper,Check adc and camera is connected to WiFi.,6
HighSpeed,Copper,No sync on modem awa alerts unable to get awa.,6
HighSpeed,Copper,No sync on modem low-memory issues detected in the router advice cx about issues.,6
HighSpeed,Copper,Occasional slowspeed in some devices advice cx about.,6
HighSpeed,Copper,Of the speed plan occasional slowspeed in some devices advice cx.,6
HighSpeed,Copper,Plan occasional slowspeed in some devices advice cx.,6
HighSpeed,Copper,Slowspeed in some devices advice cx.,6
HighSpeed,Copper,Speed plan occasional slowspeed in some devices advice cx about.,6
HighSpeed,Copper,Than 80 of the speed plan occasional slowspeed in some devices advice cx about.,6
HighSpeed,Copper,A lot of disconnections and slow speed next to modem.,4
HighSpeed,Copper,Advice cx to pause download and we run another speedtest on cellphones.,4
HighSpeed,Copper,After 2 attempts cx was able tu install camera using new WiFi password.,4
HighSpeed,Copper,After NAH rebooted reboot booster and then reboot wstb.,4
HighSpeed,Copper,Ask cx and he inform there are extra boosters on the house.,4
HighSpeed,Copper,Booster is right next of the bedroom.,4
HighSpeed,Copper,But he still getting 400mbps or les in computer connected wireless next to booster.,4
HighSpeed,Copper,Call cx back and run another speedtest.,4
HighSpeed,Copper,Check WiFi and cx have an extender.,4
HighSpeed,Copper,Check WiFi and cx reboot modem yesterday.,4
HighSpeed,Copper,Check adc and cameras not connected to WiFi right now.,4
HighSpeed,Copper,Check in10 and losing sync no sync errors.,4
HighSpeed,Copper,Check network and cx is connected to WiFi.,4
HighSpeed,Copper,Check speed and cx get good WiFi.,4
HighSpeed,Copper,Continue with troubleshoot steps after consultation and run speedtest.,4
HighSpeed,Copper,Cx able to connect to WiFi but no dataflow.,4
HighSpeed,Copper,Cx already reboot boosters and still without intenret.,4
HighSpeed,Copper,Cx also ask for help with WiFi issue.,4
HighSpeed,Copper,Cx also reboot NAH and boosters and still same isuse.,4
HighSpeed,Copper,Cx ask for help to check boosters.,4
HighSpeed,Copper,Cx ask for mor boosters because house is too big.,4
HighSpeed,Copper,Cx calling to get help to change the WiFi password.,4
HighSpeed,Copper,Cx confirm 290mbps download on WiFi.,4
HighSpeed,Copper,Cx getting 50kbpx on devices when he run a speedtest.,4
HighSpeed,Copper,Cx getting 600mbps next to modem but upstairs with booster she getting only 200.,4
HighSpeed,Copper,Cx got a new modem and he need help connecting camera back to WiFi.,4
HighSpeed,Copper,Cx have a WiFi problem yesterday and agent reset modem.,4
HighSpeed,Copper,Cx have a doorbell not connecting to WiFi.,4
HighSpeed,Copper,Cx having a really bad WiFi signal over the last couple weeks.,4
HighSpeed,Copper,Cx having issues with WiFi and devices.,4
HighSpeed,Copper,Cx is calling because he is having slow speed on the devices.,4
HighSpeed,Copper,Cx is calling because the WiFi seems to be not working on devices.,4
HighSpeed,Copper,Cx is having issues connecting the computer with windows 11 to WiFi.,4
HighSpeed,Copper,Cx just got back from traveling and panel is not connecting to WiFi.,4
HighSpeed,Copper,Cx mention is not a big house so no need for extra boosters.,4
HighSpeed,Copper,Cx mention problem is not the WiFi is the boxes.,4
HighSpeed,Copper,Cx report slow speed on his internet for the past months.,4
HighSpeed,Copper,Cx run speedtest on computer and he gets 975mbps hardwired.,4
HighSpeed,Copper,Cx test WiFi on ceelphones and working.,4
