service,connection,phrase,weight
HighSpeed,Fiber,We check cms on boldnet and 3 contact list is good to.,4
HighSpeed,Fiber,We check connections and cx using MoCA from NAH on basement to bw6 upstairs.,4
HighSpeed,Fiber,We check devices and suggest to apply a reboot on ONT.,4
HighSpeed,Fiber,We check pc with cx again and fiber not moved.,4
HighSpeed,Fiber,We check physically and cx have main booster off and 2nd booster red.,4
HighSpeed,Fiber,We check them and main boosters is offline.,4
HighSpeed,Fiber,We connect computer to NAH using ethernet and is working good too.,4
HighSpeed,Fiber,We contact bo and they confirm there is no dataflow.,4
HighSpeed,Fiber,We do a reboot on ONT but still red light on.,4
HighSpeed,Fiber,We factory reset NAH and bw6 to get fresh connection.,4
HighSpeed,Fiber,We find NAH on basement and solid green but boosters are red.,4
HighSpeed,Fiber,We follow workflow and cx able to find nokia ONT.,4
HighSpeed,Fiber,We help cx to bring old WiFi name password back.,4
HighSpeed,Fiber,We look for extender and has no WiFi lights.,4
HighSpeed,Fiber,We plug main phone to NAH and is not working.,4
HighSpeed,Fiber,We reboot booster and NAH and still not showing online.,4
HighSpeed,Fiber,We run speedtest before and after.,4
HighSpeed,Fiber,We run speedtests again and speeds increase a lot.,4
HighSpeed,Fiber,We run speedtests and cx got 500 on baseemtn but 100 on main.,4
HighSpeed,Fiber,We try to troubleshoot front door back door and none work.,4
HighSpeed,Fiber,We try with front door camera but cx hang up the call by accident.,4
HighSpeed,Fiber,We use TVS to check modem ONT downstairs and no power on devices.,4
HighSpeed,Fiber,We will contact her when BOSR is resolved.,4
HighSpeed,Fiber,Wifi is choppy downstairs and is still not working good after booster installed.,4
HomePhone,Any,Cx only ahve a 1 phone calbe on pots 1 and no other line.,6
HomePhone,Any,Troubleshoot already performed but no luck still no dial tone with phone on house.,6
HomePhone,Any,We reset ONT and still no dial tone.,6
HomePhone,Any,Cx already reboot ONT and already connect phone directly to pots 1.,5
HomePhone,Any,We follow no dial tone workflow and still no dial tone.,5
HomePhone,Any,Cx already unplug replug phone and still no dial tone.,4
HomePhone,Any,Cx calling because there is no dial tone.,4
HomePhone,Any,Cx calls to report a no dial tone issue on moms home phone.,4
HomePhone,Any,Cx have a no dial tone issue.,4
HomePhone,Any,Cx unable to move fax to see on the back and unplug replug.,4
HomePhone,Copper,Cx only ahve a 1 phone calbe on pots 1 and no other line.,6
HomePhone,Copper,Troubleshoot already performed but no luck still no dial tone with phone on house.,6
HomePhone,Copper,We reset ONT and still no dial tone.,6
HomePhone,Copper,Cx already reboot ONT and already connect phone directly to pots 1.,5
HomePhone,Copper,We follow no dial tone workflow and still no dial tone.,5
HomePhone,Copper,Check phones unplug replug phone cable and dial tone is back.,4
HomePhone,Copper,Cx already unplug replug phone and still no dial tone.,4
HomePhone,Copper,Cx calling because there is no dial tone.,4
HomePhone,Copper,Cx calls to report a no dial tone issue on moms home phone.,4
HomePhone,Copper,Cx have a no dial tone issue.,4
HomePhone,Copper,Cx unable to move fax to see on the back and unplug replug.,4
HomePhone,Fiber,Cx only ahve a 1 phone calbe on pots 1 and no other line.,6
HomePhone,Fiber,Troubleshoot already performed but no luck still no dial tone with phone on house.,6
HomePhone,Fiber,We reset ONT and still no dial tone.,6
HomePhone,Fiber,Cx already reboot ONT and already connect phone directly to pots 1.,5
HomePhone,Fiber,We follow no dial tone workflow and still no dial tone.,5
HomePhone,Fiber,Cx already unplug replug phone and still no dial tone.,4
HomePhone,Fiber,Cx calling because there is no dial tone.,4
HomePhone,Fiber,Cx calls to report a no dial tone issue on moms home phone.,4
HomePhone,Fiber,Cx have a no dial tone issue.,4
HomePhone,Fiber,Cx unable to move fax to see on the back and unplug replug.,4
MyTelus,Any,Contact bo to confirm profile is created properly.,4
MyTelus,Any,Cx also need help conneting shs account to the mytelus app using new email.,4
MyTelus,Any,Cx also want help to check her bills on mytelus app for home services.,4
MyTelus,Any,Cx calls to get help loggin in to mytelus account.,4
MyTelus,Any,Cx confim she is not trying to change nothing on telus profile.,4
MyTelus,Any,Educate cx she need to go to mytelus and complete the setup.,4
MyTelus,Any,We resend the email and she able to complete the profile creation.,4
Optik TV Evo,Any,Complete setup for evo box and remote working.,4
Optik TV Evo,Any,Cx have a home theater and volume is not working on evo box.,4
Optik TV Evo,Any,Cx having issues with 2 TV boxes evo.,4
Optik TV Evo,Any,Cx wants to upgrade from legacy to evolution equipment with cloud PVR.,4
Optik TV Evo,Any,Evo box not showing connected or powered on.,4
Optik TV Evo,Any,We complete evo setup and working too.,4
Optik TV Evo,Any,We reboot evo no signal and TV start working.,4
Optik TV Legacy,Any,After 2 min cx able to see PVR on TV on and working.,4
Optik TV Legacy,Any,After NAH rebooted reboot booster and then reboot wstb.,4
Optik TV Legacy,Any,Also about return info for old PVR.,4
Optik TV Legacy,Any,Check 2 wstb and with a reboot everything work fine.,4
Optik TV Legacy,Any,Check insight and PVR online with major errors on the last 48 hours.,4
Optik TV Legacy,Any,Correct this error and set new PVR as main device.,4
Optik TV Legacy,Any,Cx already reboot PVR multiple times every day.,4
Optik TV Legacy,Any,Cx already reboot wstb and PVR but not the modem.,4
Optik TV Legacy,Any,Cx calls because PVR seems to be not working properly the last couple days.,4
Optik TV Legacy,Any,Cx calls because PVR stop recording properly.,4
Optik TV Legacy,Any,Cx calls because main PVR not working.,4
Optik TV Legacy,Any,Cx got PVR disconnected 1 hour ago because was really hot.,4
Optik TV Legacy,Any,Cx have a PVR with client initialization error for weeks.,4
Optik TV Legacy,Any,Cx having issues with PVR and recordings.,4
Optik TV Legacy,Any,Cx reboot PVR frequently but now is very hot.,4
Optik TV Legacy,Any,Cx test MoCA directly to NAH and idoing the same isuse.,4
Optik TV Legacy,Any,Cx using wstb connected to living room.,4
Optik TV Legacy,Any,Cx wants to upgrade from legacy to evolution equipment with cloud PVR.,4
Optik TV Legacy,Any,Cx will get tech to register PVR when he arrive.,4
Optik TV Legacy,Any,Disable enable PVR already performed before and still does not work.,4
Optik TV Legacy,Any,Disable enable PVR feature and still not working after reboot.,4
Optik TV Legacy,Any,Educate cx and reboot bw6 and then reboot PVR.,4
Optik TV Legacy,Any,Ethernet going to wall and PVR not working or not connected.,4
Optik TV Legacy,Any,Follow recording issue workflow and disable enable PVR.,4
Optik TV Legacy,Any,Follow steps and connect wstb to WiFi.,4
Optik TV Legacy,Any,He also ask for a 4th wstb he will connect soon.,4
Optik TV Legacy,Any,Live TV still works when PVR fails.,4
Optik TV Legacy,Any,No errors found on wstb nor PVR.,4
Optik TV Legacy,Any,Ont t3200 and PVR connected on closet.,4
Optik TV Legacy,Any,Pvr connected and on but video is choppy.,4
Optik TV Legacy,Any,Pvr not showing the link light now.,4
Optik TV Legacy,Any,Pvr shows powered on based on in info.,4
Optik TV Legacy,Any,Pvr working but remote has no batteries.,4
Optik TV Legacy,Any,Reset t3200 dlink splitter MoCA addapters TV boxes and still not goog internet.,4
Optik TV Legacy,Any,Set aspect raio from PVR from 1080 to 720p.,4
Optik TV Legacy,Any,She reboot booster and wstb and still not working good.,4
Optik TV Legacy,Any,Succesfully add cloud PVR to cx account.,4
Optik TV Legacy,Any,Suggest cx to install wstb instead using WiFi.,4
Optik TV Legacy,Any,Unable to replace or send a new PVR wstb.,4
Optik TV Legacy,Any,We change cable from jack to bw6 and reboot PVR.,4
Optik TV Legacy,Any,We check PVR and wstb and both working.,4
Optik TV Legacy,Any,We check connections and cx using MoCA from NAH on basement to bw6 upstairs.,4
Optik TV Legacy,Any,We connect ethernet from bw6 to PVR and reboot.,4
Optik TV Legacy,Any,We reboot PVR and not able to save new recordings.,4
Optik TV Legacy,Any,We reboot PVR and still same issue.,4
Optik TV Legacy,Any,We reboot twh and after the solid green right repeat reboot proces for wstb.,4
Optik TV Legacy,Any,We reboot wstb based on workflow and not working yet.,4
Optik TV Legacy,Any,We try to use MoCA adapter but not working.,4
Other,Any,Broadband congestion cx using more than 80 of the speed plan.,38
Other,Any,Congestion cx using more than 80 of the speed.,32
Other,Any,Cx using more than 80 of the speed plan.,32
Other,Any,Cx using more than 80 of the.,32
Other,Any,Cx calling because internet is not working.,16
Other,Any,Inform about the equipment return process share instructions with go send.,13
Other,Any,Cx refuses for now but he will think about the.,12
Other,Any,Cx refuses for now but he will think.,12
Other,Any,Cx refuses for now but he.,12
Other,Any,About the equipment return process share instructions with go.,10
Other,Any,About the equipment return process share instructions.,10
Other,Any,Cx calling because TV not working.,10
Other,Any,Cx is calling because the internet.,10
Other,Any,Equipment return process share instructions with go.,10
Other,Any,Inform about the equipment return process share instructions with.,10
Other,Any,Inform about the equipment return process share.,10
Other,Any,Return process share instructions with go send.,10
Other,Any,The equipment return process share instructions with go send.,10
Other,Any,The equipment return process share instructions with.,10
Other,Any,Advice about delivery installation and return order.,8
Other,Any,Cx have acquired home security with no adc.,8
Other,Any,Cx having issues with security system.,7
Other,Any,Extra steps inform about the equipment return process share instructions with go.,7
Other,Any,Extra steps inform about the equipment return process share.,7
Other,Any,Extra steps inform about the equipment return.,7
Other,Any,Steps inform about the equipment return process share instructions.,7
Other,Any,Steps inform about the equipment return process.,7
Other,Any,But recordings are not playing on TV app.,6
Other,Any,Cx ask to know better prices on her mobile phone.,6
Other,Any,Cx calls because internet is not working.,6
Other,Any,Cx confirm prev agent check number for them and was correct.,6
Other,Any,Cx have 2 land lines and both stop working today same time.,6
Other,Any,Cx is having issues with the.,6
Other,Any,Cx wants to double check if numbers in monitoring station are correct.,6
Other,Any,Cx with t3200 and internet light is red.,6
Other,Any,Educate cx and bo suggest dispatch and reassign to voice test.,6
Other,Any,Need previous i r tech to return to fix the inside wiring.,6
Other,Any,We apply a factory reset and.,6
Other,Any,Cx inform she is on basement unit.,5
Other,Any,We check dst and there was a tech on aug 4 checking line.,5
Other,Any,Access to remedy and reschedule appointment as per cx request.,4
Other,Any,Advice about recording rules and cx able to see live video now.,4
Other,Any,Advice cx about delivery installation and return.,4
Other,Any,Advice cx about delivery time and process to return old box to telus.,4
Other,Any,Advice cx we need a tech to complete re installation for panel.,4
Other,Any,Advice cxthere is no pending return order.,4
Other,Any,All TV with correct input selected but no signal.,4
Other,Any,Also provide info for the return order.,4
Other,Any,And i need to speak with owner to dispatch tech.,4
Other,Any,Aoc and cx will not pay a cent for tech visit.,4
Other,Any,Apply credit because is not fair and cx will keep modem.,4
Other,Any,Average wi-fi speed is slower than the broadband for many devices connected awa.,4
Other,Any,Based on os we fill the form to request the purolator returnl abel request.,4
Other,Any,Bw6 not showing on insight so we cannot change password.,4
Other,Any,Change dual path settings on adc and reboot panel and try again.,4
Other,Any,Change plan on CSR and check speeds.,4
Other,Any,Check CSR and max speed is 42mbps.,4
Other,Any,Check dst and able to update appointment for tue 22th.,4
Other,Any,Check emt and manager is not available in live transfer.,4
Other,Any,Check nc ticket and we need to create a BOSR for this.,4
Other,Any,Check recording rules and they are created but turned off.,4
Other,Any,Check recording rules and they are properly created.,4
Other,Any,Check video audio recording rules and everything working.,4
Other,Any,Confirm is created now and should be recording starting now.,4
Other,Any,Confirm is working isung doorbel and recording rules are aslo working.,4
Other,Any,Create BOSR and advice cx no need to call again.,4
Other,Any,Create BOSR and ecutacte cx he agree.,4
Other,Any,Cx able to change password and now able to login to app.,4
Other,Any,Cx able to login now on cellphone and TV.,4
Other,Any,Cx able to put that in and create a new password.,4
Other,Any,Cx able to see the test on the screen in all the TV boxes.,4
Other,Any,Cx able to unplug replug and still not working.,4
Other,Any,Cx about awa alerts but is not facing the problems.,4
Other,Any,Cx already confirm with him that nothing was touched or moved or disconnected.,4
Other,Any,Cx already reboot and factory reset with prev agent.,4
Other,Any,Cx also ask for new equipment for TV and internet.,4
Other,Any,Cx also complain about last night phone call with ffh troubleshoot agent.,4
Other,Any,Cx also request help that this tech install TV box.,4
Other,Any,Cx also waiting for these boxes to arrive but she didnt get them yet.,4
Other,Any,Cx ask for a TV box upgrade to the digital boxes.,4
Other,Any,Cx ask for a tech to go to address and fix all security system.,4
Other,Any,Cx ask for me to disable the alerts or errors.,4
Other,Any,Cx call again but she unwilling to troubleshoot again.,4
Other,Any,Cx call because an incident number saying radio not working.,4
Other,Any,Cx call because he is having internet issues again.,4
Other,Any,Cx call because he want to change from crave to netflix.,4
Other,Any,Cx call because internet got disconnected almost 1 hour ago.,4
Other,Any,Cx call because internet is not working since yesterday.,4
Other,Any,Cx call for a doorlock device that is not working on the system.,4
Other,Any,Cx call on july 19 about same issue.,4
Other,Any,Cx call them to confirm but still no internet.,4
Other,Any,Cx call to ask how is the back office process going.,4
Other,Any,Cx calling because he have a TV not working.,4
Other,Any,Cx calling because homephone got changed after they cancel living well companion.,4
Other,Any,Cx calling because internet is not working since last night.,4
Other,Any,Cx calling because internet seems to be not working since 1 hour ago.,4
Other,Any,Cx calling because internet seems to be slow on the house.,4
Other,Any,Cx calling because they had a tech visit for today around 9 to 11.,4
Other,Any,Cx calling becuase call display not working since last week.,4
Other,Any,Cx calling for a tvbox issue not connecting to internet.,4
Other,Any,Cx calling to ask if tech will arrive today.,4
Other,Any,Cx calling to have a better option or cancel services.,4
Other,Any,Cx calls because phone is not working since yesterday night.,4
Other,Any,Cx calls to find out why tech is not coming back yet.,4
Other,Any,Cx calls to get help with theme pack upgrade -changes- to the account.,4
Other,Any,Cx check with brakers turning them on off and still no power.,4
Other,Any,Cx complain because he was getting more than 500 updlad before upgrade.,4
Other,Any,Cx confirm chime recirding audio and live video is working.,4
Other,Any,Cx confirm he can see them on app andlive video working.,4
Other,Any,Cx confirm modem goes orange some times and she need to reboot device.,4
Other,Any,Cx confirm on app that is showing and working.,4
Other,Any,Cx decide to turn off on all brakers and sstill no good.,4
Other,Any,Cx didnt do any troubleshoot setps so far.,4
Other,Any,Cx didnt receive it yet and still waiting for it.,4
Other,Any,Cx enable guest network and try to use that one and not working.,4
Other,Any,Cx getting good speed now 810mbps on cellphone but he is not happy.,4
Other,Any,Cx getting very good signal speed after reboot.,4
Other,Any,Cx got an upgrade yesterday but seems like system pin is not working.,4
Other,Any,Cx got tired and he will review this later.,4
Other,Any,Cx got transfered to me to get the replacement completed.,4
Other,Any,Cx grant access to portal and complete rule creation and modification with request.,4
Other,Any,Cx had a tech appointment for july 28 from 11 to 1pm.,4
Other,Any,Cx had an appointment for thu17 but tech didnt show up.,4
Other,Any,Cx hang up on land line and set it up.,4
Other,Any,Cx happy and now he know what he need to check next time.,4
Other,Any,Cx have 1 home services and 1 bussines account.,4
Other,Any,Cx have a alert from smoke detector after he replace batteries.,4
Other,Any,Cx have a computer connected hardwired and is just getting 600mbps.,4
Other,Any,Cx have a power outage 30 min ago and internet is not back yet.,4
Other,Any,Cx have a power outage recently and internet is not coming back.,4
Other,Any,Cx have a spare cable and we switch cable.,4
Other,Any,Cx have a upstairs on and working but no internet connection.,4
Other,Any,Cx have an incident number to get help with system.,4
Other,Any,Cx have ethernet on the wall and link light flashing.,4
Other,Any,Cx have this clip limit reached last 5 minths.,4
Other,Any,Cx having issues to select hdmi 3 which is the connection used.,4
Other,Any,Cx having issues with the iq secondary panel.,4
Other,Any,Cx infor is not a TV box is an special japanese box.,4
Other,Any,Cx is a tenant but internet is not working.,4
Other,Any,Cx is calling because after a power outage internet not working properly.,4
Other,Any,Cx is calling because audio is not working.,4
Other,Any,Cx is calling because her TV is not working.,4
Other,Any,Cx is calling because internet seems to be not working properly.,4
Other,Any,Cx is calling because tech arrive today to install the new service order.,4
Other,Any,Cx is calling because the TV is not working.,4
Other,Any,Cx is calling because the home phone is not working.,4
Other,Any,Cx is calling because the internet is not working when they came back home.,4
Other,Any,Cx is calling to report a pole telus device open and hanging out dangerously.,4
Other,Any,Cx is facing an intermittent connectivity on the internet.,4
Other,Any,Cx is having a constant beeping on co detector on basement.,4
Other,Any,Cx is having a problem with the panel.,4
Other,Any,Cx is having internet issues over the past couple weeks now.,4
Other,Any,Cx is having issues with the disney hayu and amazon prime activation.,4
Other,Any,Cx is missing a lot of channels recently that she usually watch before.,4
Other,Any,Cx is worried that cms is not calling them properly when alarm goes off.,4
Other,Any,Cx jusr renew agreement but still with same channels.,4
Other,Any,Cx just got a new modem and ssid and password change.,4
Other,Any,Cx just move to a new address but no internet connection.,4
Other,Any,Cx just receive a tech install but internet still not working.,4
Other,Any,Cx mention after 1 hour or so panel go black again.,4
Other,Any,Cx mention he already receive 2 techs and issue persist.,4
Other,Any,Cx mention internet is slow and super bad in all devices.,4
Other,Any,Cx mention she aware of cable damage and we need a tech.,4
Other,Any,Cx mention she lost a loooot of channels but no change.,4
Other,Any,Cx mention she receive a package fromt elus.,4
Other,Any,Cx mention sometimes when she check it is off completely.,4
Other,Any,Cx mention the address is rented by a tenant and he is not there.,4
Other,Any,Cx mention the problem is with the TV on living room.,4
Other,Any,Cx mention this is the 3rd time this happens.,4
Other,Any,Cx moved to a new addres years ago and tech never install that.,4
Other,Any,Cx need power cable and remote so we decide to replace box.,4
Other,Any,Cx needs a credit and a solution for this issue.,4
Other,Any,Cx needs to know if internet is working or not.,4
Other,Any,Cx not at home and unwilling to troubleshoot again.,4
Other,Any,Cx only with 4 devices in tota with 250 mbpx.,4
Other,Any,Cx paying for a telus internet 25 speed plan.,4
Other,Any,Cx perform an upgrade from 1g to 3g but speeds are still low.,4
Other,Any,Cx perform questions about how the cms communicate with cx if something happens.,4
Other,Any,Cx power off on device from app and try agian.,4
Other,Any,Cx prefer to have call display instead so add it and remove vm.,4
Other,Any,Cx reboot modem and after reboot still getting less than 50mbps.,4
Other,Any,Cx rebooted modem multiple times and reboot does not help.,4
Other,Any,Cx receive a panel battery replacement but panel battery is ok.,4
Other,Any,Cx receive a sms about a problem on the service.,4
Other,Any,Cx receive a tech on july about the phone line not working.,4
Other,Any,Cx refuses and confirm she will install phone downstairs for now.,4
Other,Any,Cx remove device to get battereis but she still didnt get them.,4
Other,Any,Cx request a tech early for the internet.,4
Other,Any,Cx request a tech to go there and fix all TV boxes.,4
Other,Any,Cx request help with bill because is still meesed up.,4
Other,Any,Cx request to be transfered to care to get a better deal.,4
Other,Any,Cx review and manage to open devices and remove old batteries.,4
Other,Any,Cx save password and now she have access now.,4
Other,Any,Cx share pictures about what they got instead of the hub.,4
Other,Any,Cx transfered from mob loyalty to get help with internet.,4
Other,Any,Cx transfered to get help replacing his co detector.,4
Other,Any,Cx transfered to troubleshoot because is having issues with internet and TV service.,4
Other,Any,Cx transfered to troubleshoot to get help with TV boxes.,4
Other,Any,Cx try to check back of pannel and is connected too.,4
Other,Any,Cx try to reboot again and went to the same error message.,4
Other,Any,Cx try to set the vm but mailbox number error appears.,4
Other,Any,Cx unable to check connections because not at home.,4
Other,Any,Cx unable to see input when they switch to live TV on hdmi 1.,4
Other,Any,Cx unable to use netflix in basement TV.,4
Other,Any,Cx unplug cable before and didnt realize he didnt plug it back properly.,4
Other,Any,Cx using a 3rd party modem so he think is something in his setup.,4
Other,Any,Cx using hisense TV and unable to select hdmi 3.,4
Other,Any,Cx wants a compensation for the entire year of non working service constantly.,4
Other,Any,Cx was looking to have an upgrade to the new 4k TV boxes android.,4
Other,Any,Cx was speaking with a prev agent but after they change home phone features.,4
Other,Any,Cx was transfered from loyalty to get this resolved.,4
Other,Any,Cx will cal when she at home today or tomorrow morning.,4
Other,Any,Cx will call when he at home to get this resolved.,4
Other,Any,Cx will do that with 3th box when they got the brand new TV.,4
Other,Any,Cx will get it between 24 to 48 hours.,4
Other,Any,Cx will get some help from neighbor to select input.,4
Other,Any,Cx will take a look at panel and see if its going offline again.,4
Other,Any,Cx will try for couple days to see how it works.,4
Other,Any,Cx with TV service and aparently TV not working either.,4
Other,Any,Cx with an orange light on the internet light.,4
Other,Any,Cx with enough space to save recordings.,4
Other,Any,Cx with internet again but same speeds.,4
Other,Any,Cx with issues on bill after plan renewal on april.,4
Other,Any,Cx with t3200 with mac and insight shows a different modem online and working.,4
Other,Any,Cx with vm issue after they complete c2f migration.,4
Other,Any,Cx working from home and cant wait that long.,4
Other,Any,Dispatch is needed to bring internet back and check provisioning with bo.,4
Other,Any,Dispatch tech on remedy to get 3 TVS installed.,4
Other,Any,Educate about recordings and how can she see them.,4
Other,Any,Educate about return info and how to install.,4
Other,Any,Educate abut delivery and return order.,4
Other,Any,Educate cx 15mbps and 1mbps is the right speed for his plan.,4
Other,Any,Educate cx about delivery and return instruccions.,4
Other,Any,Educate cx about recording rules and she agree.,4
Other,Any,Educate cx about return order and installation.,4
Other,Any,Educate cx about the 10 m for the cloud recording and he didnt accept.,4
Other,Any,Educate cx he can do this online using self serve portal on mutelus.,4
Other,Any,Educate cx he need to complete the netflix activation before use.,4
Other,Any,Educate cx how to get password but modem is not accessible now.,4
Other,Any,Help cx to reset his password on his own.,4
Other,Any,Help her to re login to iphone app and she able to change password.,4
Other,Any,Live TV is working but recordings cannot be played or save new ones.,4
Other,Any,Occasional disconnections in some devices multiple gateway modem reboots.,4
Other,Any,Perform a factory reset to apply new speed plan on devices.,4
Other,Any,Perform a reboot but that didnt work aoc.,4
Other,Any,Perform a reboot on bw6 and try to reconnect panel.,4
Other,Any,Proceed with a cease and re provide of the theme pack.,4
Other,Any,Proceed with code on doorlock and is working great.,4
Other,Any,Reboot panel to apply changes and now everything is working.,4
Other,Any,Replace them and now door lock is working perfectly.,4
Other,Any,Run test with cx help on the panel.,4
Other,Any,She need to complete the netflix login and use it.,4
Other,Any,She unable to return equipment because that will make TV to not work.,4
Other,Any,Tech suggest to call telus to activate services.,4
Other,Any,Test speed and cx geeting good rates.,4
Other,Any,They check recordings and there is nothing saved.,4
Other,Any,Troubleshoot steps not solve problem dispatch is needed.,4
Other,Any,Try to de escalate but cx is really worreid about her safety.,4
Other,Any,Try to help cx with amazon prime from stream.,4
Other,Any,Try to reboot panel unplug replug and still black.,4
Other,Any,Unable to de escalate and cx still needs to talk with a manager.,4
Other,Any,Unable to help cx to activate account.,4
Other,Any,Unable to process any CSR order TV replacement or tech visit.,4
Other,Any,Upgrade firmware and after 10 min panel reboot with upgrade.,4
Other,Any,We access his settings and unable to change resolution still a 1 1 ratio.,4
Other,Any,We apply a factory reset and goes to green solid.,4
Other,Any,We apply a factory reset and this solve the problem.,4
Other,Any,We apply a factory reset and wait for 5 min and still flashing.,4
Other,Any,We apply a reboot on that and sequential reboot on TV boxes.,4
Other,Any,We are sorry something is not right error on the screen.,4
Other,Any,We ask CSR to port in old phone number.,4
Other,Any,We cease and reprovide but not working.,4
Other,Any,We change power outlet and device still not power on.,4
Other,Any,We change ssid and password and same error.,4
Other,Any,We check a different outlet and modem turn on.,4
Other,Any,We check adc and none smoke sensonrs added to system.,4
Other,Any,We check all 5 of them and none of them work.,4
Other,Any,We check app and recordings everything ok.,4
Other,Any,We check bill and apply channels and theme packs they have there.,4
Other,Any,We check casa and there is no such charges.,4
Other,Any,We check computer and is connected hard wired to internet.,4
Other,Any,We check dsl on the back and is off.,4
Other,Any,We check insight and cx have free memory issues alert on modem.,4
Other,Any,We check insight and modem not managed by hdm.,4
Other,Any,We check insight and problem on the line.,4
Other,Any,We check mac filter and there is no mac filter active.,4
Other,Any,We check panel and disarm function not working.,4
Other,Any,We check password and retry with correct password.,4
Other,Any,We check with telus remote and samsung remote.,4
Other,Any,We dispatch a ticket with a tech visit.,4
Other,Any,We do a seq reboot and still getting very low speed.,4
Other,Any,We do a seq reboot but inmediately after TV start freezing.,4
Other,Any,We do a test and reboot device from adc and still the same.,4
Other,Any,We find out modem shows free memory issues.,4
Other,Any,We follow workflow for call display issues on phone.,4
Other,Any,We go to channels and green circle going around.,4
Other,Any,We grab bw6 and connect directly to 10g port.,4
Other,Any,We just find a cid but there is no active service.,4
Other,Any,We login to web again and cx able to see activation.,4
Other,Any,We manually unplug replug hdmi and start working.,4
Other,Any,We need to be at home to check panel and troubleshoot.,4
Other,Any,We need to push order and create nc ticket to release error.,4
Other,Any,We need to remove readd device but cx needs to be at home.,4
Other,Any,We need to uninstall app and re install to try again.,4
Other,Any,We perform a reboot and cx next to modem is getting really bad speed.,4
Other,Any,We perform sensitive transactions and detach attach services and try again.,4
Other,Any,We perform sensitive transction by arming disarming panel and proceed with password reset.,4
Other,Any,We proceed with ssid and password update from insight.,4
Other,Any,We reboot and factory reset and no connection yet.,4
Other,Any,We reboot the entire entertainment system and volume is now working.,4
Other,Any,We reboto and factory reset modem and still not working.,4
Other,Any,We repeat the process 1 more time but still not working.,4
Other,Any,We reset all we can to cehck connectivity but internet keeps dropping.,4
Other,Any,We restart both panels and still not connected.,4
Other,Any,We restart panel and still showing this shadowing going around on the background.,4
Other,Any,We review and cx live on a basement unit really small.,4
Other,Any,We run a TVS session to confirm status of device.,4
Other,Any,We run speedtesd and cx gettin 100mbps on cellphone.,4
Other,Any,We run steps again on a different cellphone and didnt work either.,4
Other,Any,We send a replacement for the defective power cable.,4
Other,Any,We swap power cable and TV start working properly.,4
Other,Any,We test another detector upstairs and still no luck.,4
Other,Any,We try hardwired and cx getting more than 230mbps.,4
Other,Any,We try several times to connect that and add it to gateway but unable.,4
Other,Any,We try to find out why this happens.,4
Other,Any,We use IP on computer and we unable to use admin password.,4
Other,Any,We use TVS to check device and is definitely damaged.,4
Other,Any,We use TVS to scannetwork and fix awa alerts.,4
SHS Legacy,Any,Advice cx if needed they can clean sensor or change batteries just in case.,6
SHS Legacy,Any,Check adc and camera is connected to WiFi.,6
SHS Legacy,Any,Cx have a doorbell camera not working.,6
SHS Legacy,Any,Check adc and sensor shows malfunction.,5
SHS Legacy,Any,Advice cx to remove sensor and wait for a minute and connect sensor back.,4
SHS Legacy,Any,Advice cx to turn them on and test camera to confirm.,4
SHS Legacy,Any,Advice to remove sensor remove battery for 1 min and then re install battery.,4
SHS Legacy,Any,After 2 attempts cx was able tu install camera using new WiFi password.,4
SHS Legacy,Any,After 5 min cx able to see recording coming from front door camera.,4
SHS Legacy,Any,After delete camera from account cx unable to open app.,4
SHS Legacy,Any,After that we connect camera and has power now.,4
SHS Legacy,Any,After third attempt successfully add camera to account.,4
SHS Legacy,Any,Agent able to create privacy rule on shs cx portal and refresh cx.,4
SHS Legacy,Any,Also cx ask for help with a sensor showing issues.,4
SHS Legacy,Any,Also explain how to add sensor to account when he receive it.,4
SHS Legacy,Any,Apply a reboot on camera and start working properly.,4
SHS Legacy,Any,Ask permissions to edit on shs portal and succesfully grant access.,4
SHS Legacy,Any,Check adc and cameras not connected to WiFi right now.,4
SHS Legacy,Any,Check adc and garage door controller is not added.,4
SHS Legacy,Any,Check physical installation and sensor is way to separate from it.,4
SHS Legacy,Any,Check with cx and sensor expires on september.,4
SHS Legacy,Any,Consultation from shs loyalty about 4 cameras from cx not working.,4
SHS Legacy,Any,Consultation from x331003 about recording rules privacy zones on outdoor cameras for cx.,4
SHS Legacy,Any,Cx able to login and try to connect camera again.,4
SHS Legacy,Any,Cx also ask for help regarding the chime from doorbell.,4
SHS Legacy,Any,Cx also have duplicated recording rule for driveway camera.,4
SHS Legacy,Any,Cx also need help conneting shs account to the mytelus app using new email.,4
SHS Legacy,Any,Cx also replace battery for smoke sensor and is tamper.,4
SHS Legacy,Any,Cx ask why the motion sensor goes to bypass.,4
SHS Legacy,Any,Cx call because cameras are offline since yesterday when he came back home.,4
SHS Legacy,Any,Cx calling because back camera is not recording.,4
SHS Legacy,Any,Cx calls because he have issues with doorbell camera.,4
SHS Legacy,Any,Cx calls to get help installing a new door sensor on his garage door.,4
SHS Legacy,Any,Cx didnt put sensor back so shows tamper alert.,4
SHS Legacy,Any,Cx got a motion sensor trigered on the garage.,4
SHS Legacy,Any,Cx got a new doubleside tape and put sensor back on his place.,4
SHS Legacy,Any,Cx got a new modem and he need help connecting camera back to WiFi.,4
SHS Legacy,Any,Cx has being paying for a garage door controller that was never installed.,4
SHS Legacy,Any,Cx have 3 out of 4 cameras not working.,4
